"score","title","company","custom_resume_path","custom_resume_status","custom_resume_validation_errors","custom_resume_validation_warnings","tailored_resume_path","work_arrangement","office_location","remote_region","location","application_url","source_url","score_reasoning","apply_status","apply_error","cover_letter_path","discovered_at"
"10","Technical Program Manager","Juniper Square","","","","","","remote","","","Remote","","https://www.linkedin.com/jobs/view/4383124104","Python, Agile Scrum, SAFe, Software Project Management, Program Management, Technical Documentation, Roadmap Planning, Customer Success, Change Management, Workflow Automation, Jira, Confluence, Legal Technology
Deterministic profile match: 13 profile skills mentioned; title alignment 2.0/3.0; domain signals 11.","","","","2026-05-19T03:47:58.625216+00:00"
"10","Technical Program Manager","Quantiphi","","","","","","unknown","","","","","https://www.linkedin.com/jobs/view/4375959085","Agile Scrum, Software Project Management, Stakeholder Management, Program Management, Technical Documentation, Customer Success, AI/ML, Risk Management, Observability Concepts, Snowflake, AWS, Jira, Google Cloud
Deterministic profile match: 13 profile skills mentioned; title alignment 2.0/3.0; domain signals 13.","","","","2026-05-19T03:41:57.324976+00:00"
"10","Sr. Technical Program Manager (Remote)","Jobs via Dice","","","","","","remote","","","Remote","","https://www.linkedin.com/jobs/view/4415748277","Agile Scrum, Software Project Management, Program Management, Technical Documentation, Requirements Gathering, Change Management, Scheduling Management, Resource Planning, Risk Management, Jira, Smartsheet
Deterministic profile match: 11 profile skills mentioned; title alignment 2.0/3.0; domain signals 9.","","","","2026-05-19T03:41:57.324976+00:00"
"10","Senior Program Manager","The Voleon Group","","","","","","hybrid","Remote","","Remote","","https://www.linkedin.com/jobs/view/4407119259","Agile Scrum, Hybrid Project Management, Software Project Management, Kanban, OKRs, Machine Learning Frameworks, Program Management, Change Management, Resource Planning, AI/ML, Jira, Confluence
Deterministic profile match: 12 profile skills mentioned; title alignment 1.5/3.0; domain signals 9.","","","","2026-05-19T03:39:44.477961+00:00"
"10","Project Manager","ITMC Systems, Inc","","","","","","unknown","","","","","https://www.linkedin.com/jobs/view/4412836753","Agile Scrum, Sprint Planning, Software Project Management, Retrospectives, Stakeholder Management, Program Management, Presentation Skills, Change Management, Sprint Reviews, Risk Management, Jira
Deterministic profile match: 11 profile skills mentioned; title alignment 2.0/3.0; domain signals 10.","","","","2026-05-19T03:39:44.477961+00:00"
"10","Project Manager ? Digital Transformation Projects","Unicorn Lab","","","","","","unknown","","","","","https://www.linkedin.com/jobs/view/4412278264","Agile Scrum, Sprint Planning, SDLC, Retrospectives, Stakeholder Management, Presentation Skills, Change Management, Resource Planning, Sprint Reviews, Jira, Confluence
Deterministic profile match: 11 profile skills mentioned; title alignment 2.0/3.0; domain signals 9.","","","","2026-05-19T03:35:32.190761+00:00"
"10","Agile Project Manager / Release Manager","Hatch Pros","","","","","","remote","","","Remote","","https://www.linkedin.com/jobs/view/4412828758","Sprint Planning, SAFe, Retrospectives, Stakeholder Management, Program Management, Technical Documentation, Sprint Reviews, Risk Management, Release Coordination, Deployment Workflows, Jira
Deterministic profile match: 11 profile skills mentioned; title alignment 2.5/3.0; domain signals 10.","","","","2026-05-19T03:35:32.190761+00:00"
"10","Implementation Project Manager","Smartlinx","","","","","","remote","","","Remote","","https://www.linkedin.com/jobs/view/4412110976","SQL, Software Project Management, SDLC, Presentation Skills, Roadmap Planning, Requirements Gathering, Customer Success, Scheduling Management, Resource Planning, Risk Management
Deterministic profile match: 10 profile skills mentioned; title alignment 2.5/3.0; domain signals 7.","","","","2026-05-19T03:30:57.247300+00:00"
"10","Senior Technical Project Manager, Growth Solutions","Workiva","","","","","","hybrid","Remote, US (Remote)","","Remote, US (Remote)","https://workiva.wd503.myworkdayjobs.com/en-US/careers/job/USA---Remote/Senior-Technical-Project-Manager--Growth-Solutions_R11745","https://www.indeed.com/viewjob?jk=e419c1d96b996d49","Hybrid Project Management, Software Project Management, Kanban, Program Management, Change Management, Risk Management, Jira, Smartsheet
Deterministic profile match: 8 profile skills mentioned; title alignment 3.0/3.0; domain signals 10.","","","","2026-05-19T03:28:48.056786+00:00"
"10","Sr Project Manager/Scrum Master","Apply Digital","","","","","","hybrid","Remote","","Remote","","https://www.linkedin.com/jobs/view/4385180774","Agile Scrum, Ecommerce Workflows, Hybrid Project Management, Sprint Planning, SAFe, Software Project Management, Kanban, SDLC, Retrospectives, CI/CD Collaboration, Stakeholder Management, Technical Documentation, Requirements Gathering, Sprint Reviews, Jira, Confluence, GitHub, Smartsheet, Notion, Google Analytics, Google Cloud
Deterministic profile match: 21 profile skills mentioned; title alignment 2.0/3.0; domain signals 14.","","","","2026-05-19T03:28:48.056786+00:00"
"10","Technical Project Manager - iGaming","Block Labs","","","","","","unknown","","","","","https://www.linkedin.com/jobs/view/4373355270","Software Project Management, SDLC, Stakeholder Management, Customer Success, Change Management, QA Coordination, Risk Management, Release Coordination
Deterministic profile match: 8 profile skills mentioned; title alignment 3.0/3.0; domain signals 10.","","","","2026-05-19T03:28:48.056786+00:00"
"10","Senior Technical Project Manager (Work From Home)","Persona","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_Senior Technical Project Manager Work From Home.txt","approved","","","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_Senior Technical Project Manager Work From Home.pdf","remote","","","Remote","","https://www.linkedin.com/jobs/view/4415499612","SAFe, Software Project Management, Stakeholder Management, Technical Documentation, Customer Success, Risk Management, Deployment Workflows, Jira, Confluence, GitHub, Notion
Deterministic profile match: 11 profile skills mentioned; title alignment 3.0/3.0; domain signals 9.","","","","2026-05-19T03:28:48.056786+00:00"
"10","Senior Technical Project Manager","Relativity","","","","","","hybrid","Remote","","Remote","","https://www.linkedin.com/jobs/view/4397348038","Hybrid Project Management, Software Project Management, Stakeholder Management, Program Management, Change Management, Risk Management, Observability Concepts, Workflow Automation, Distributed Systems Concepts, AWS, Jira, Confluence, GitHub, Legal Technology
Deterministic profile match: 14 profile skills mentioned; title alignment 3.0/3.0; domain signals 12.","","","","2026-05-19T03:26:29.194443+00:00"
"10","Senior Project Manager","Enlyte","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_Senior Project Manager_Enlyte_18846.txt","approved","","","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_Senior Project Manager_Enlyte_18846.pdf","hybrid","","","","https://careers.enlyte.com/careers-home/jobs/18846?lang=en-us&iis=LinkedIn&iisn=LinkedIn&mode=apply","https://www.linkedin.com/jobs/view/4394224194","Agile Scrum, Hybrid Project Management, Sprint Planning, SAFe, Software Project Management, Kanban, Root Cause Analysis, 5 Whys, Retrospectives, CI/CD Collaboration, Stakeholder Management, Resource Planning, Risk Management, Data Pipelines, AWS, Jira
Deterministic profile match: 16 profile skills mentioned; title alignment 2.0/3.0; domain signals 14.","","","","2026-05-19T03:26:29.194443+00:00"
"10","IT Project manager","RELQ TECHNOLOGIES","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_IT Agile Project Manager_RELQ_4416255508.txt","approved","","","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_IT Agile Project Manager_RELQ_4416255508.pdf","hybrid","Remote","","Remote","","https://www.linkedin.com/jobs/view/4416255508","Agile Scrum, Hybrid Project Management, Sprint Planning, SAFe, Software Project Management, Retrospectives, Stakeholder Management, QA Coordination, Resource Planning, Sprint Reviews, Release Coordination, AWS, Power BI, Jira, Confluence
Deterministic profile match: 15 profile skills mentioned; title alignment 2.5/3.0; domain signals 13.","","","","2026-05-19T03:26:29.194443+00:00"
"10","Senior Technical Project Manager- (CMS)","Jobgether","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_Senior Technical Project Manager_CMS_4415609999.txt","approved","","","C:\Users\bsing\OneDrive\Documents\Projects\ApplyPilot\portable_applypilot\software-pm\tailored_resumes\software-pm\Brianna Singer_resume_Senior Technical Project Manager_CMS_4415609999.pdf","hybrid","Remote","","Remote","","https://www.linkedin.com/jobs/view/4415609999","Agile Scrum, Hybrid Project Management, Software Project Management, Stakeholder Management, Program Management, Technical Documentation, Presentation Skills, Customer Success, Resource Planning, Release Coordination, Deployment Workflows, Smartsheet
Deterministic profile match: 12 profile skills mentioned; title alignment 3.0/3.0; domain signals 12.","","","","2026-05-19T03:26:29.194443+00:00"
