skill,have_skill_and_add_to_profile,already_in_profile,jd_count,example_jds
Project management,,,75,"Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; AI Technical Project Manager - Remote Work - BairesDev; Associate Project Manager - RemoteHunter; Associate Project Manager, Product and Data - Horizon Media"
Agile,,yes,55,"Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Associate Project Manager - RemoteHunter; Associate Project Manager, Product and Data - Horizon Media; Delivery Lead - Halo Media"
AI,,,50,"Agile Project Manager - Everforth ECS; AI Technical Project Manager - Remote Work - BairesDev; Associate Project Manager, Product and Data - Horizon Media; Junior Project Manager - NineTwoThree AI Studio; Middle Project Manager - NineTwoThree AI Studio"
Reporting,,,43,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; AI Technical Project Manager - Remote Work - BairesDev; Associate Project Manager - RemoteHunter; Delivery Lead - Halo Media
Communication,,,41,"Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Associate Product Manager - Mastery Logistics Systems, Inc.; Associate Project Manager - RemoteHunter; Delivery Lead - Halo Media"
Documentation,,,41,"AI Technical Project Manager - Remote Work - BairesDev; Associate Product Manager - Mastery Logistics Systems, Inc.; Delivery Lead - Halo Media; Information Technology Project Manager - Call Quest Solution; IT Business Analyst III - Gama-1 Technologies"
Jira,,,38,"Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; AI Technical Project Manager - Remote Work - BairesDev; Associate Project Manager, Product and Data - Horizon Media; Lead Technical Project Manager - Remote - Experian"
SaaS,,,37,"Associate Product Manager - Mastery Logistics Systems, Inc.; Associate Project Manager, Product and Data - Horizon Media; Product Operations Associate - Victory Live; Product Owner - Mutual of Omaha; Product Owner - Realtime Clinical Trial Management Systems"
Milestone tracking,,,33,Agile Project Manager - Everforth ECS; AI Technical Project Manager - Remote Work - BairesDev; Information Technology Project Manager - Call Quest Solution; Project Coordinator - Sourcedpeople; Project Coordinator - Tundra Technical Solutions
Facilitation,,,30,"Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Associate Project Manager - RemoteHunter; Associate Project Manager, Product and Data - Horizon Media; Delivery Lead - Halo Media"
Scrum,,yes,30,"Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Associate Product Manager - Mastery Logistics Systems, Inc.; Delivery Lead - Halo Media; Information Technology Project Manager - Call Quest Solution"
Data analytics,,,25,"Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Associate Project Manager, Product and Data - Horizon Media; Product Manager 1 - (AI Focus) - Principal Financial Group; Product Operations Associate - Victory Live"
